ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.15180976035374877,0.1211876549034189,0.03330575755765734,0.0430188306422875,0.4008393148306256,0.17585071010244774,0.0458925919554893,0.5025381944963393,0.08768569666038936,0.0879897368813471,0.020851666396776596,0.030522830407159224,0.11991569534191164,0.04113770036770631,0.036267096220627966,0.09166422136679539,0.0006803936971635986,0.2670480771594469,0.08442374073924444,0.011632117255874225,0.03201165774289585,0.2495113551891223,0.03660199628435223,0.030083524693460834
4,0.15541407117269912,0.11054213090004429,0.03254720860529225,0.060270875558266025,0.3823254289767196,0.1857666799746348,0.07960272570328304,0.5031933596543058,0.08095872782622074,0.07283312991559325,0.014434924315592573,0.037469584851621406,0.11542924561897504,0.04927683104303048,0.03257788936001487,0.079324158010002,0.0013937981203214491,0.207082298661202,0.0788614547608996,0.016743049336168107,0.034511562892328866,0.23763995771433263,0.042845526669795346,0.028192635272604558
5,0.16578465547689486,0.10828141070653427,0.020086428301268132,0.04198045240331263,0.34776994584350474,0.24361317600235471,0.031699405508180525,0.5611679784366831,0.06328873140222625,0.08207841565341893,0.0368066572671286,0.026866396285668507,0.12103575546924945,0.034296119150206236,0.02925874263930672,0.1416233543602197,0.000629097185606858,0.2633667166623772,0.08084355064403982,0.005136157763752282,0.03332860945759725,0.3195204894927833,0.03744351194011224,0.022901639126026198
6,0.17257863165369838,0.13006823352992214,0.026622738721624618,0.04183071627108702,0.36852233329244477,0.18535699218579865,0.03464346687553106,0.5325581553983072,0.07748798324753065,0.0901014827626925,0.025934497333760048,0.034501023306885766,0.12761052169489925,0.03525828883488733,0.03058616861986138,0.1098431882600667,0.0005417776434016382,0.24498664888535773,0.10149979237044615,0.007632498974153276,0.03441195034256132,0.2809630552601743,0.0517835159301055,0.02848514013085529
7,0.18158706653237364,0.1513737395626218,0.04009018526631676,0.03933282436720738,0.3437290069130456,0.18533246703356746,0.0380434812947332,0.4650707666041158,0.09189130685714918,0.12092180743220733,0.027061502905993174,0.02675880042258877,0.19379601450575315,0.031017381365329333,0.029593177547874373,0.11137176249665079,0.0004329212242543078,0.20931171817644498,0.16216055760036313,0.0099850371319123,0.022486071643483936,0.2866770032882072,0.03264148046209495,0.02691137623182973
9,0.1505298735664456,0.12102247428888166,0.03296465120080451,0.05439806558280648,0.3940895304629638,0.17624592477794254,0.0627480161517514,0.5024454935880125,0.08934059634740252,0.08678013694348224,0.019048789891238125,0.038027035104172234,0.11671625072476755,0.046872910122349565,0.033057655256301666,0.08533964106285094,0.0009860306907146406,0.2245925313217038,0.08046070967084477,0.014860942626703658,0.03793563855621377,0.23892396239418173,0.04134926650386205,0.03146716409252963
11,0.1747461719331011,0.13648673039341133,0.03595458497942402,0.06337859344741528,0.360273626822116,0.17477996598102163,0.11875513996025226,0.4692976508926971,0.08752306914348755,0.0939318558203689,0.0178180740851058,0.04698444013344988,0.10132591809954215,0.06187534670715621,0.03982779705210136,0.07799299831013695,0.0034697149698360305,0.21884778691473908,0.0943386073164506,0.010738710131183122,0.03755367248358181,0.22577417133586394,0.04109256028604977,0.029185228034740954
13,0.18062860250078422,0.12127310329353805,0.03197602867699141,0.03877216478299824,0.41761251043572317,0.2222669517259399,0.035691858531897956,0.5073375990977599,0.08669625103372544,0.0839421478714286,0.024980082484920334,0.026718895928090843,0.10530312952646456,0.038477639272896505,0.03278509559334012,0.09288455643507512,0.0007074468084016738,0.23815247951748642,0.0850948840546863,0.010028435987697894,0.032160548524571834,0.2740485745760721,0.03452293298889887,0.02675880304552879
16,0.1349899952341263,0.10998652365042037,0.029139007629268725,0.05213667089158212,0.3908097746611825,0.16243285216786324,0.06322704946702051,0.5187023480331935,0.08133582103300452,0.08082486690615773,0.018221679588119082,0.035250811825463454,0.12042148438186483,0.0451368515189926,0.03332992103549715,0.08977717215114017,0.0007856066045487299,0.251146424645426,0.07709660945147492,0.013675405693351813,0.03331684936800176,0.23192730093096126,0.04131955763537656,0.02797316624903482
21,0.14137772561183712,0.12414912116975278,0.03483583504093483,0.04741792424218124,0.4179902658955627,0.16367030685236134,0.06282513042542978,0.49991918831041826,0.09126001255491596,0.08634575465279448,0.015904341795110192,0.032737872949456154,0.11067628226092785,0.04688286410157152,0.03678641756690678,0.0779909875755297,0.0010041988973700923,0.24951459085522382,0.07861525920066759,0.013382936849596372,0.03343360791830061,0.2197092770640429,0.03995804300249353,0.029453718573795046
22,0.17095388335840375,0.14706436609245505,0.03752182458856778,0.036529002807651374,0.3909861272935432,0.15785558436051977,0.028995355991633772,0.502331328420334,0.09421023854920244,0.12363715190860337,0.0206270335554627,0.03321767380037098,0.1476933569720092,0.03508721878437016,0.036391642747420024,0.09547404478799013,0.0005072866654035382,0.26868610154080613,0.1009708287707212,0.00831828037765942,0.0277507510158999,0.24891384103299452,0.04846763031982851,0.027553948693699953
24,0.18583790798819488,0.10897833496843586,0.025236182950916015,0.03719195940918425,0.3850863760688098,0.2619708517141391,0.033116081249075495,0.5109637981749222,0.06911055248802664,0.07350979455237061,0.03438506530283349,0.027918754630176356,0.118260680504356,0.033487842240792806,0.03180752688048291,0.13782388860021053,0.0004732778286861056,0.2579609503769054,0.08161977407441783,0.007021550346415831,0.024821969706217167,0.32971801080144053,0.0337501377336092,0.022419535807463923
